community_id,size,top_influencer,top_influence_score,top_broker,top_betweenness,top_commenter,top_out_degree,avg_influence_score,dominant_sentiment,dominant_keyword,keyword_diversity,top_keywords,tier1_count,tier2_count,total_posts
14,82,sindonews,0.637674,sindonews,0.006531,ugint808,2,0.008288,Negative,ProduksiMinyak,0,[],0,0,99
18,45,otoproject,0.285348,otoproject,0.001923,meka007,2,0.007427,Neutral,ProduksiMinyak,0,[],0,0,60
55,43,tututata151,0.2348,tututata151,0.011138,merchandise_original_persib,11,0.030271,Negative,ProduksiMinyak,0,[],0,0,42
11,40,bitorexpost,0.470147,bitorexpost,0.001193,wily_setia30,2,0.02419,Negative,ProduksiMinyak,0,[],0,0,46
37,34,luarbioskop,0.200047,luarbioskop,0.000684,maullyaariifiin,5,0.006347,Positive,ProduksiMinyak,0,[],0,0,32
8,32,metrotv,0.217059,metrotv,0.000765,aryonoput,1,0.006783,Negative,ProduksiMinyak,0,[],0,0,34
39,29,investordailyid,0.272257,investordailyid,0.007271,raden_maszamroni,2,0.015505,Negative,ProduksiMinyak,0,[],0,0,38
5,25,koranbaliexpress,0.164139,koranbaliexpress,0.000407,ricky6510,1,0.006566,Negative,ProduksiMinyak,0,[],0,0,37
33,22,kompascom,0.144403,kompascom,0.000393,legnuts,1,0.006564,Negative,ProduksiMinyak,0,[],0,0,23
94,22,cerah_indonesiaku,0.075976,aulia.rahmawati84,0.000992,aulia.rahmawati84,8,0.007402,Neutral,ProduksiMinyak,0,[],0,0,31
1,21,prabowo,0.2757,prabowo,0.011859,friedo.hekya,5,0.030549,Negative,ProduksiMinyak,0,[],0,0,16
13,20,katadatacoid,0.122575,katadatacoid,0.000491,parvasani,2,0.006704,Positive,ProduksiMinyak,0,[],0,0,21
59,20,zonaebt,0.060219,wartaekonomi,0.000975,cfdhack,3,0.009544,Positive,ProduksiMinyak,0,[],0,0,35
17,20,sukabumiupdatecom,0.132102,sukabumiupdatecom,0.000424,bukan_ayyub,1,0.006605,Neutral,ProduksiMinyak,0,[],0,0,22
47,19,moltensalt.insight,0.124404,moltensalt.insight,0.000367,ilyashusenramadan,1,0.006548,Neutral,ProduksiMinyak,0,[],0,0,49
0,16,timesindonesia,0.094618,timesindonesia,0.000246,bp_sukendro,2,0.006179,Negative,ProduksiMinyak,0,[],0,0,19
7,16,daripresiden,0.105669,aan101425,0.003196,aan101425,3,0.013723,Positive,ProduksiMinyak,0,[],0,0,18
44,16,feedcollective.co,0.100701,feedcollective.co,0.000165,faqihh43,1,0.006294,Negative,ProduksiMinyak,0,[],0,0,19
3,15,bloombergtechnoz,0.095054,bloombergtechnoz,0.000204,pemberimandat,1,0.006337,Neutral,ProduksiMinyak,0,[],0,0,18
65,13,genergibersih,0.060958,riyan.nurrahman,5.2e-05,salsabillaurel,3,0.009495,Positive,ProduksiMinyak,0,[],0,0,12
52,12,katakitaig,0.065664,katakitaig,5.9e-05,queenajjakarta,2,0.005733,Negative,ProduksiMinyak,0,[],0,0,11
25,12,tommybr_jipro,0.065973,tommybr_jipro,7.7e-05,cahayabintang4668,2,0.005798,Negative,ProduksiMinyak,0,[],0,0,11
83,12,astrobike.katalog,0.073781,astrobike.katalog,0.000118,panjimulki,1,0.006148,Neutral,ProduksiMinyak,0,[],0,0,17
22,12,suaradotcom,0.125026,suaradotcom,0.002945,farelmaliq944,2,0.016476,Negative,ProduksiMinyak,0,[],0,0,11
54,11,genbanteng,0.067051,genbanteng,0.000106,majapahit0514,1,0.006096,Neutral,ProduksiMinyak,0,[],0,0,11
15,11,infobandaacehs,0.065935,infobandaacehs,5.3e-05,tuanaqsa,1,0.005994,Neutral,ProduksiMinyak,0,[],0,0,11
73,11,banten.feeds,0.066307,banten.feeds,7.1e-05,bangrikibatavia801,1,0.006028,Neutral,ProduksiMinyak,0,[],0,0,11
108,11,tumbuhkaya.id,0.066307,tumbuhkaya.id,7.1e-05,lennz_shh,1,0.006028,Negative,ProduksiMinyak,0,[],0,0,13
115,11,infobanyuwangi,0.066679,infobanyuwangi,8.8e-05,jiggy_jig30,1,0.006062,Neutral,ProduksiMinyak,0,[],0,0,11
95,11,anaktambang,0.067051,anaktambang,0.000106,sssaaaaaaalll,1,0.006096,Negative,ProduksiMinyak,0,[],0,0,11
91,11,trendjktcom,0.067055,trendjktcom,0.000106,arkafarash,1,0.006096,Neutral,ProduksiMinyak,0,[],0,0,11
56,11,manofourtimeid,0.116386,lucky6276600,0.002723,lucky6276600,2,0.015799,Negative,ProduksiMinyak,0,[],0,0,12
116,11,tuturmediadigital,0.066679,tuturmediadigital,8.8e-05,irfanmohmd,1,0.006062,Neutral,ProduksiMinyak,0,[],0,0,11
118,10,rikasavvyy,0.060652,rikasavvyy,0.00011,randy_suherman2,1,0.006065,Positive,ProduksiMinyak,0,[],0,0,11
53,10,akademi.antikorupsi,0.031466,ratna_aden,7.5e-05,ratna_aden,7,0.005113,Positive,ProduksiMinyak,0,[],0,0,8
109,10,radiopatria,0.059994,radiopatria,7.9e-05,novendra_df,1,0.005999,Neutral,ProduksiMinyak,0,[],0,0,10
46,10,theglobeconomy,0.060325,theglobeconomy,9.4e-05,5_famiily,1,0.006033,Neutral,ProduksiMinyak,0,[],0,0,15
19,8,kapitalismarket,0.059866,didinsahruddinfirdausy,0.000829,didinsahruddinfirdausy,2,0.009669,Negative,ProduksiMinyak,0,[],0,0,18
16,8,jabarekspres,0.046613,jabarekspres,5.9e-05,slaveoftool,1,0.005827,Negative,ProduksiMinyak,0,[],0,0,8
34,8,cryfex.id,0.038041,cryfex.id,2.2e-05,bangleo.fx,2,0.005249,Neutral,ProduksiMinyak,0,[],0,0,8
29,8,arkaproject.idn,0.045869,arkaproject.idn,2.4e-05,pancasetyawn,1,0.005734,Negative,ProduksiMinyak,0,[],0,0,11
63,7,satukanjiwa2024,0.039098,satukanjiwa2024,1e-05,kelaut_aja,1,0.005585,Positive,ProduksiMinyak,0,[],0,0,7
99,7,lifeatgenb,0.025156,iaammaulana,2e-06,iaammaulana,2,0.006813,Neutral,ProduksiMinyak,0,[],0,0,5
40,7,updatenusantaracom,0.031725,updatenusantaracom,2.9e-05,basyiriskandarsyah,2,0.005109,Negative,ProduksiMinyak,0,[],0,0,8
75,7,plnip.ubpadipala,0.03972,plnip.ubpadipala,3.9e-05,pln.uipklb,1,0.005674,Positive,ProduksiMinyak,0,[],0,0,10
78,6,solehchemist,0.033072,solehchemist,3.1e-05,satriagasa,1,0.005512,Neutral,ProduksiMinyak,0,[],0,0,7
98,5,cekberitanya,0.025928,akmallmulnaa,0.0,akmallmulnaa,1,0.005186,Negative,ProduksiMinyak,0,[],0,0,5
80,5,depokhariini,0.026176,depokhariini,1.2e-05,rucytriadi,1,0.005235,Negative,ProduksiMinyak,0,[],0,0,5
67,5,komnas.ham,0.026176,komnas.ham,1.2e-05,andre_pupun,1,0.005235,Neutral,ProduksiMinyak,0,[],0,0,5
64,5,heraldsulselbar,0.026052,heraldsulselbar,6e-06,ull_unk89,1,0.00521,Neutral,ProduksiMinyak,0,[],0,0,5
26,5,policy.pop,0.026052,policy.pop,6e-06,pandu_kurnia29,1,0.00521,Neutral,ProduksiMinyak,0,[],0,0,5
2,5,murianewscom,0.026052,murianewscom,6e-06,yudhstira.id,1,0.00521,Neutral,ProduksiMinyak,0,[],0,0,5
51,5,greenpowergrouptbk,0.026425,greenpowergrouptbk,2.4e-05,naufalhabibi21,1,0.005285,Neutral,ProduksiMinyak,0,[],0,0,8
66,5,enternusantara,0.026052,enternusantara,6e-06,riyastiicr,1,0.00521,Neutral,ProduksiMinyak,0,[],0,0,9
36,5,tantriianita,0.026052,tantriianita,6e-06,arsfz__,1,0.00521,Positive,ProduksiMinyak,0,[],0,0,7
88,5,satya.bumi,0.013095,satya.bumi,1.6e-05,katadatagreen,2,0.007516,Neutral,TransisiEnergi,0,[],0,0,5
111,5,vibesnewssociety,0.026176,vibesnewssociety,1.2e-05,mariotedy_syah,1,0.005235,Neutral,ProduksiMinyak,0,[],0,0,5
113,5,devirhm5,0.003544,validnews,1.2e-05,validnews,4,0.002885,Neutral,KrisisEnergi,0,[],0,0,17
23,4,sorot_tanah_air,0.019446,rahmadsaidah09,0.0,rahmadsaidah09,1,0.004861,Negative,ProduksiMinyak,0,[],0,0,4
62,4,aqielr15,0.019611,aqielr15,8e-06,reynal_da,1,0.004903,Neutral,ProduksiMinyak,0,[],0,0,4
43,4,apaajapku,0.019446,rahmat_jeri1,0.0,rahmat_jeri1,1,0.004861,Negative,ProduksiMinyak,0,[],0,0,4
87,4,satupersenofficial,0.019611,satupersenofficial,8e-06,kerjamuid,1,0.004903,Neutral,ProduksiMinyak,0,[],0,0,4
81,4,jabodetabek24info,0.019446,yogiijepee,0.0,yogiijepee,1,0.004861,Neutral,ProduksiMinyak,0,[],0,0,4
89,4,arroyyanmas,0.00387,ditlitka.ppidunia,0.0,ditlitka.ppidunia,3,0.002903,Neutral,TransisiEnergi,0,[],0,0,2
105,4,pln_enjiniring,0.012458,pln_enjiniring,2e-06,kugynana,2,0.003892,Neutral,ProduksiMinyak,0,[],0,0,3
112,4,simakpolitik,0.019611,simakpolitik,8e-06,indovolix,1,0.004903,Neutral,ProduksiMinyak,0,[],0,0,4
102,3,kabartanpadelay,0.013046,kabartanpadelay,4e-06,arifcassa,1,0.004349,Positive,ProduksiMinyak,0,[],0,0,3
96,3,naturevolution.id,0.013046,naturevolution.id,4e-06,ikiriswan062,1,0.004349,Negative,ProduksiMinyak,0,[],0,0,3
92,3,ahdahmaulana,0.012964,verd7007,0.0,verd7007,1,0.004321,Negative,ProduksiMinyak,0,[],0,0,4
121,3,kabarciledug,0.013047,kabarciledug,4e-06,rsma.39,1,0.004349,Negative,ProduksiMinyak,0,[],0,0,3
31,3,otospector,0.012964,gifanyslla__,0.0,gifanyslla__,1,0.004321,Neutral,ProduksiMinyak,0,[],0,0,3
27,3,ariusama20,0.013046,ariusama20,4e-06,arz_opini,1,0.004349,Positive,ProduksiMinyak,0,[],0,0,4
24,3,tribunnews,0.013047,tribunnews,4e-06,mobilgeelyjakarta,1,0.004349,Negative,ProduksiMinyak,0,[],0,0,4
69,3,mkiofficial_,0.012964,rachmatdosen,0.0,rachmatdosen,1,0.004321,Positive,TransisiEnergi,0,[],0,0,5
50,3,ukmpenelitianuny,0.004523,zamzam.f,0.0,zamzam.f,2,0.003015,Positive,TransisiEnergi,0,[],0,0,1
57,3,yuliawati.792,0.013005,yuliawati.792,2e-06,aelav.u,1,0.004335,Negative,TransisiEnergi,0,[],0,0,2
9,3,enviroxiland2026,0.004523,odiqww,0.0,odiqww,2,0.003015,Negative,TransisiEnergi,0,[],0,0,1
71,3,syamsiro,0.013047,syamsiro,4e-06,mujiunimma,1,0.004349,Neutral,ProduksiMinyak,0,[],0,0,3
120,3,jakarta_headlines,0.013046,jakarta_headlines,4e-06,reinheart_damanik,1,0.004349,Negative,ProduksiMinyak,0,[],0,0,3
79,3,anggadrumaholic,0.013047,anggadrumaholic,4e-06,bababigonthebike,1,0.004349,Neutral,ProduksiMinyak,0,[],0,0,3
74,3,rimbasatwa.id,0.013005,rimbasatwa.id,2e-06,narasiboy,1,0.004335,Neutral,ProduksiMinyak,0,[],0,0,4
60,2,energianusantara,0.006482,arkorahydro,0.0,arkorahydro,1,0.003241,Positive,TransisiEnergi,0,[],0,0,3
6,2,nkri24jam,0.006482,agilhari.s,0.0,agilhari.s,1,0.003241,Neutral,SubsidiBBM,0,[],0,0,3
12,2,sagoetv,0.006482,yogie_basri,0.0,yogie_basri,1,0.003241,Negative,ProduksiMinyak,0,[],0,0,2
20,2,cakinvestmentclub,0.006482,einsten_davidson,0.0,einsten_davidson,1,0.003241,Neutral,MinyakIndonesia,0,[],0,0,2
4,2,growminingcorpindonesia,0.006482,zifauzizuaf__,0.0,zifauzizuaf__,1,0.003241,Positive,MinyakIndonesia,0,[],0,0,2
38,2,danurenjaya,0.006482,hernady_fr,0.0,hernady_fr,1,0.003241,Neutral,ProduksiMinyak,0,[],0,0,2
30,2,funderstand.id,0.006482,wahyu_zetyawan29,0.0,wahyu_zetyawan29,1,0.003241,Negative,MinyakIndonesia,0,[],0,0,2
45,2,beritasatu,0.006482,bento1ko,0.0,bento1ko,1,0.003241,Neutral,KrisisEnergi,0,[],0,0,2
28,2,ikiloguntor,0.006482,rzky_percil01,0.0,rzky_percil01,1,0.003241,Negative,ProduksiMinyak,0,[],0,0,2
61,2,agam.munawar,0.006482,isyaknurhadi,0.0,isyaknurhadi,1,0.003241,Neutral,KrisisEnergi,0,[],0,0,2
48,2,mr.opini,0.006482,genterpol007,0.0,genterpol007,1,0.003241,Positive,ProduksiMinyak,0,[],0,0,2
