source,target,weight
ilyashusenramadan,moltensalt.insight,4
katakanpuput,moltensalt.insight,4
hersusiloo,moltensalt.insight,3
azkiaramadanii,moltensalt.insight,3
apriliasiskaaaaa,moltensalt.insight,3
bukanagamrinjani,moltensalt.insight,3
elsofiyah,moltensalt.insight,3
malas_bosannn,moltensalt.insight,3
naufalhabibi21,greenpowergrouptbk,3
dixkyfau,moltensalt.insight,2
immanuelsr,investordailyid,2
karinaardhia,moltensalt.insight,2
b.setyo61,porosrakjat,2
hermansyahaditya54,moltensalt.insight,2
atstube2021,koranbaliexpress,2
andri_g.noviantoro,otoproject,2
dessy4474,theglobeconomy,2
gsitest,plnip.ubpadipala,2
gendhoek_limboek,ahdahmaulana,2
khairudinyusuf8,koranbaliexpress,2
luqmandiyah6,sawanganupdate,2
marhendraputra,sindonews,2
mybeauty.shopee,feedcollective.co,2
notanoldmens,moltensalt.insight,2
pemberimandat,bloombergtechnoz,2
pln.uipklb,plnip.ubpadipala,2
riyastiicr,enternusantara,2
sani_anami,rikasavvyy,2
taufiklexo8389,cerah_indonesiaku,2
tedyatmojooo,moltensalt.insight,2
yulia.nadewiii,moltensalt.insight,2
_ndrok,timesindonesia,1
_thophik_,metrotv,1
_vha.00,investordailyid,1
_warmindostory,astakomunikasi,1
aaalbertob,cryfex.id,1
aadhigunawans,sindonews,1
aagknilef,madiuntoday.id,1
aan101425,astakomunikasi,1
aan101425,daripresiden,1
aanurdin001,arkaproject.idn,1
abadiabadillah,kompascom,1
abangjii,koranbaliexpress,1
yani_suroto,kompascom,1
abiambunten,tommybr_jipro,1
abiyumna09,sukabumiupdatecom,1
achl.ing,tumbuhkaya.id,1
achmad_mujaeni,sindonews,1
adamramadhan767,sindonews,1
ade7131,koranbaliexpress,1
adeagus19,zonaebt,1
adhityadito,otoproject,1
adi.putra.75209,anaktambang,1
adilsetiawan65,webekspor,1
aditya_rockin,feedcollective.co,1
aditya_surya_mandala_putra_s,sukabumiupdatecom,1
aditya_uki_nugroho,manofourtimeid,1
adwi.hantoro,bloombergtechnoz,1
aeh_thea_,otoproject,1
afrynugroho,wartaekonomi,1
ageng.pangestu217,warta.dotcom,1
agilhari.s,nkri24jam,1
agung.purnomo18,rimbasatwa.id,1
aguspriyadiw,sindonews,1
agustiawan_winardi,arkaproject.idn,1
agusvanhoten,tuturmediadigital,1
aguzaja01,tommybr_jipro,1
ahliana.co.id,luarbioskop,1
ahmadaris.ahmadaris.1,sukabumiupdatecom,1
ahmadnursubekti,jakbarviral,1
aiko51621,officialinewstv,1
akhirul_kong86,otoproject,1
akmallmulnaa,cekberitanya,1
akmalrosihan,komnas.ham,1
alamsah_48,bitorexpost,1
alamsemesta189,ariusama20,1
aldieysh,kabarciledug,1
alfredogustiar,puspenpol,1
alief9196,koranbaliexpress,1
alifianrg,enternusantara,1
aliifjr_,tumbuhkaya.id,1
along_ai,suaradotcom,1
althaf_fathan_argifta,otoproject,1
alvian.dawenan,feedcollective.co,1
alwi_gifary,trendjktcom,1
amarilido11,bitorexpost,1
ameliarhmwt1,cekberitanya,1
amiensedunia,sindonews,1
anasrul_0,indo.flashid,1
andana.satriya,otoproject,1
andi_tenry_famory,bitorexpost,1
andiconyputroe,daripresiden,1
andre2gd_,sindonews,1
andre_aryudhi,otoproject,1
andre_pupun,komnas.ham,1
andrefebrian444,katadatacoid,1
andriyan_senpai,investordailyid,1
andro7285,luarbioskop,1
andy2.1042,updatenusantaracom,1
anevsatriani,murianewscom,1
anggarasagung,kapitalismarket,1
anitalstri11,cekberitanya,1
anjase_xx,warta.dotcom,1
anjuransaham,investordailyid,1
anna_lim888.id,metrotv,1
anneemih,bitorexpost,1
antoni_widjaja,bloombergtechnoz,1
apihjajadipraja,jabarekspres,1
ardiansyahwantjiru,otoproject,1
arffan37,webekspor,1
ariarya5858,sukabumiupdatecom,1
arief.s.marsis,indomine_id,1
arief_wowor1,rikasavvyy,1
arif.satia,investordailyid,1
arifcassa,kabartanpadelay,1
ariffaozy2024,tuturmediadigital,1
arifyuspiana,sukabumiupdatecom,1
ariy_idzes,kompascom,1
arizfhrrzi,webekspor,1
arjbokz,timesindonesia,1
arkafarash,trendjktcom,1
arkho91,bitorexpost,1
arkorahydro,energianusantara,1
arsfz__,tantriianita,1
arsn_try,feedcollective.co,1
art_lv01,luarbioskop,1
arta34422,simakpolitik,1
artur_chen_jerwmy,bitorexpost,1
aryadmth_,luarbioskop,1
aryawanfajar,otoproject,1
aryonoput,metrotv,1
arz_opini,ariusama20,1
asep.rahmat27ar,trendjktcom,1
ashza_ras,genergibersih,1
asriani_amiruddin,tantriianita,1
asril_azka,heraldsulselbar,1
astor17027,bitorexpost,1
asukahana,enternusantara,1
aswan2184,sindonews,1
atasnamasayasaja,investordailyid,1
aura_deluna_,bitorexpost,1
austin44163,vibesnewssociety,1
avkxena,kompascom,1
ayub7505,sindonews,1
ayuliindriani,jabarekspres,1
ayumegadewii,timesindonesia,1
azizhasibuan_,feedcollective.co,1
azkyyy_1,heraldsulselbar,1
azton_dj23,laporan8.id,1
bababigonthebike,anggadrumaholic,1
badarbaghraf1,genbanteng,1
bagas_liaa,luarbioskop,1
bageur_akang,otoproject,1
bahanstempelsurabaya,plnip.ubpadipala,1
bakuljamu_91,warta.dotcom,1
bananafirza4,sindonews,1
bangedhyompong,jabodetabek24info,1
bangleo.fx,cryfex.id,1
bangrikibatavia801,banten.feeds,1
barbieskyx_,kompascom,1
basyiriskandarsyah,updatenusantaracom,1
bayu_ap14,otoproject,1
bayu_astrianto,plnip.ubpadipala,1
beaconnbine_,radiopatria,1
bem_su1,sindonews,1
bennyarief46,sorot_tanah_air,1
bento1ko,beritasatu,1
bi_lang_,bitorexpost,1
bil_rosmi,luarbioskop,1
bilic_indonesia,akademi.antikorupsi,1
billo.west,genbanteng,1
bilqis_tsiqlah5,rikasavvyy,1
bimmm_______,timesindonesia,1
bingungsanasini2025,kapitalismarket,1
bint4n972,cerah_indonesiaku,1
bintangnani91,daripresiden,1
bodyweighttrain77,officialinewstv,1
bp_sukendro,timesindonesia,1
bratayudhanamakoe,infobanyuwangi,1
brianrahmadn,astrobike.katalog,1
brohar85,sindonews,1
bslaksono,sindonews,1
buan4545,wartaekonomi,1
budakbader0h,moltensalt.insight,1
budi85army,metrotv,1
budi_angkringan25,investordailyid,1
bukan_ayyub,sukabumiupdatecom,1
bunda.kkdd,sukabumiupdatecom,1
bundayati12345,tommybr_jipro,1
bydlombok_,autotivo,1
bydlombok_,otoproject,1
caapciipcuupp,suaradotcom,1
cahayabintang4668,tommybr_jipro,1
candi.architect,giz_idasean,1
captain_magha,warta.dotcom,1
cerah_baru,satukanjiwa2024,1
ceritahijrahid,lbsurundana,1
cfdhack,pln.epi,1
cfdhack,wartaekonomi,1
cfdhack,zonaebt,1
chairijah5216,laporan8.id,1
cheryjambi.thomas,otoproject,1
chris.tobing,suaradotcom,1
ciaaa_fac,timesindonesia,1
cintamelodyy_,aqielr15,1
cotomatte04,tumbuhkaya.id,1
cut_dek_pink,koranbaliexpress,1
d_besar10,otoproject,1
dadi_rahman_dr,astrobike.katalog,1
dadinurfauzi,officialinewstv,1
daffakhoiri13_,genergibersih,1
danimaziza,jabarekspres,1
danu.dsgr,otoproject,1
david_w_sujarwo,katadatacoid,1
