source,target,weight,avg_interaction
350id,bahlillahadalia,2,0.0
350id,prabowo,2,0.0
ditlitka.ppidunia,ppidunia,2,0.0
ditlitka.ppidunia,arroyyanmas,2,0.0
ditlitka.ppidunia,pembuat_jejak25,2,0.0
350id,haniffaisolnurofiq,1,0.0
aktualcom,aktualforum,1,0.0
________naba,riyan.nurrahman,1,1.0
aan101425,prabowo,1,4.0
aelav.u,yuliawati.792,1,0.0
aulia.rahmawati84,energinewsid,1,0.0
ashza_ras,riyan.nurrahman,1,1.0
arafatsaid765,sorotan,1,0.0
aulia.rahmawati84,kesdm,1,0.0
aulia.rahmawati84,storyrakyat_,1,0.0
aulia.rahmawati84,pertamina,1,0.0
aulia.rahmawati84,pertamina.foundation,1,0.0
aulia.rahmawati84,pertaminapatraniaga,1,0.0
basyiriskandarsyah,fraksigolkar,1,0.0
beldocuan,beldocuanfreeforum,1,0.0
bp_sukendro,asanddre,1,0.0
caapciipcuupp,bahlillahadalia,1,0.0
cahayabintang4668,jusufkalla,1,2.0
aulia.rahmawati84,voxnetizens,1,0.0
aulia.rahmawati84,wartaekonomi,1,0.0
bangleo.fx,vzn_iqbal,1,0.0
cerita.rame,purbayayudhi.official,1,0.0
cerita.rame,prabowo,1,0.0
cerita.rame,bahlillahadalia,1,0.0
chris.tobing,dpr_ri,1,2.0
deepintelligenceresearch,deepintelligenceresearch.id,1,0.0
deepintelligenceresearch,deepintelligence.id,1,0.0
er_dhaniswara,jak101fm,1,0.0
farelmaliq944,gusmiftah,1,3.0
friedo.hekya,gerindra,1,3.0
friedo.hekya,prabowo,1,3.0
friedo.hekya,rizky_irmansyah,1,3.0
friedo.hekya,tumgrd,1,3.0
genergibersih,alif.m.ismail,1,0.0
genergibersih,riyan.nurrahman,1,0.0
giz_idasean,katadatacoid,1,0.0
gracegunawans,akademi.antikorupsi,1,0.0
iaammaulana,genb.semarang,1,1.0
indonesiaterkini_id,kompascom,1,0.0
ini.noyess,yuliawati.792,1,0.0
joeliardisunendar,jsportfolio.id,1,0.0
kangbeben,prabowo,1,0.0
katadatagreen,romoraedwards,1,0.0
katadatagreen,satya.bumi,1,0.0
kugynana,aldyrahadian8,1,3.0
lifeatgenb,genergiberish,1,0.0
lucky6276600,prabowo,1,3.0
maullyaariifiin,netanyahuar,1,0.0
maullyaariifiin,potus,1,0.0
maullyaariifiin,realdonaldtrump,1,0.0
maullyaariifiin,yair_netanyahu,1,0.0
meka007,madiuntoday.id,1,0.0
meka007,otoproject,1,3.0
merchandise_original_persib,djed.komdigi,1,0.0
merchandise_original_persib,dpr_ri,1,0.0
merchandise_original_persib,gibran_rakabuming,1,0.0
merchandise_original_persib,gojekindonesia,1,0.0
merchandise_original_persib,grabid,1,0.0
merchandise_original_persib,kemenhub151,1,0.0
merchandise_original_persib,ketua_dprri,1,0.0
merchandise_original_persib,literasidigitalkomdigi,1,0.0
merchandise_original_persib,perekonomianri,1,0.0
merchandise_original_persib,prabowo,1,0.0
mg.mampang_nur,matanajwa,1,0.0
milisiliterasi,satya.bumi,1,0.0
milisiliterasi,yayasankehati,1,0.0
odiqww,enviroxiland2026,1,0.0
odiqww,hmtl.undip,1,0.0
officialicm,icmofficial,1,0.0
parvasani,menkeuri,1,0.0
periklindo,hanzizar,1,0.0
periklindo,prodigus.id,1,0.0
queenajjakarta,purbayasadewa.official,1,2.0
ratna_aden,aden_achmad_me,1,0.0
ratna_aden,bilic_indonesia,1,0.0
ratna_aden,mamet_yadi2808,1,0.0
ratna_aden,sitie416,1,0.0
ratna_aden,yatty70,1,0.0
ratna_aden,zulhamka_julianto_kadir,1,0.0
redaksi_mandarnesia,esdm_ri,1,0.0
salsabillaurel,alif.m.ismail,1,2.0
salsabillaurel,riyan.nurrahman,1,2.0
sankelux_sankeindo,sankelux.co.id,1,0.0
st4r.lovz,ratihandriyani,1,0.0
supermie.hobbies,kesdm,1,0.0
supermie.hobbies,najwashihab,1,0.0
syahrulnr23,riyan.nurrahman,1,1.0
szahrxx,alif.m.ismail,1,1.0
taufiklexo8389,pertamina,1,0.0
tere616,kompascom,1,7.0
tii_aa37,riyan.nurrahman,1,2.0
topik.sumbar24jam,metrotv,1,0.0
validnews,devirhm5,1,0.0
validnews,fao,1,0.0
validnews,nanug.pratomo,1,0.0
validnews,visitelitisaksama,1,0.0
visyabiru_,minimalistmoms.id,1,0.0
wily_setia30,whitehouse,1,0.0
yurikaputri067,investordailyid,1,0.0
zamzam.f,ukmpenelitianuny,1,0.0
zamzam.f,unysef_official,1,0.0
