username,influence_score,influence_percentile,tier,tier_label,community_id,in_degree,out_degree,pagerank
sindonews,0.6376739366067635,100.0,1,Mega Influencer,14,78,0,0.03786890588382687
bitorexpost,0.4701466793882426,99.90215264187867,1,Mega Influencer,11,38,0,0.01891907403069635
otoproject,0.2853484508300052,99.80430528375733,1,Mega Influencer,18,38,0,0.018893491554707546
prabowo,0.27570012040706804,99.706457925636,1,Mega Influencer,1,7,0,0.0015370803673297848
investordailyid,0.2722574052680135,99.60861056751467,1,Mega Influencer,39,19,0,0.009309042810067607
tututata151,0.23479951631738605,99.51076320939335,1,Mega Influencer,55,0,5,0.0005734370924599407
merchandise_original_persib,0.2260602857753207,99.412915851272,1,Mega Influencer,55,0,11,0.0005734370924599407
indo.flashid,0.21792127506775963,99.31506849315068,1,Mega Influencer,55,4,0,0.0016983507860252193
metrotv,0.21705933860593185,99.21722113502935,1,Mega Influencer,8,31,0,0.015672058643397876
luarbioskop,0.20004693206548133,99.11937377690802,1,Mega Influencer,37,29,0,0.014406878815529498
indovibing.id,0.19626280381827077,99.02152641878669,1,Mega Influencer,55,7,0,0.0033578257017913703
koranbaliexpress,0.16413889827410003,98.92367906066536,2,Macro Influencer,5,24,0,0.012262692486734474
kompascom,0.14440330365088722,98.82583170254404,2,Macro Influencer,33,21,0,0.010801535562450157
rambeomar,0.13880399757315132,98.72798434442271,2,Macro Influencer,55,0,2,0.0005734370924599407
sukabumiupdatecom,0.1321022157561198,98.63013698630137,2,Macro Influencer,17,19,0,0.009827430946260613
suaradotcom,0.12502581033317767,98.53228962818004,2,Macro Influencer,22,10,0,0.005210399905300943
moltensalt.insight,0.12440370971262639,98.43444227005871,2,Macro Influencer,47,18,0,0.00934037863816584
katadatacoid,0.12257456320636193,98.33659491193738,2,Macro Influencer,13,17,0,0.009105432339309083
webekspor,0.11998948884343497,98.23874755381604,2,Macro Influencer,39,10,0,0.0051958026253416
officialinewstv,0.11856389801483706,98.14090019569471,2,Macro Influencer,55,10,0,0.005050674756887321
manofourtimeid,0.11638598635019128,98.04305283757338,2,Macro Influencer,56,10,0,0.0054029534675566395
warta.dotcom,0.11556294448044448,97.94520547945206,2,Macro Influencer,1,10,0,0.005300634356922733
laporan8.id,0.11454944049961485,97.84735812133071,2,Macro Influencer,55,10,0,0.005141292203753413
daripresiden,0.10566882923861533,97.74951076320939,2,Macro Influencer,7,10,0,0.00531668111586198
feedcollective.co,0.10070050442331592,97.65166340508806,2,Macro Influencer,44,15,0,0.007879221713881524
bloombergtechnoz,0.09505393657657606,97.55381604696673,2,Macro Influencer,3,14,0,0.007392169405786751
timesindonesia,0.09461778894298102,97.4559686888454,2,Macro Influencer,0,14,0,0.0072298186364218265
bahlillahadalia,0.07906804166409391,97.35812133072407,2,Macro Influencer,1,3,0,0.0010038027744860754
cerah_indonesiaku,0.07597642129134374,97.26027397260275,2,Macro Influencer,94,10,0,0.005312080157723878
friedo.hekya,0.07529820438613653,97.16242661448142,2,Macro Influencer,1,0,5,0.0005734370924599407
astrobike.katalog,0.07378090006842739,97.06457925636008,2,Macro Influencer,83,11,0,0.0059310124815024345
aan101425,0.06737656820852791,96.96673189823875,2,Macro Influencer,7,0,3,0.0005734370924599407
trendjktcom,0.06705547214036188,96.86888454011742,2,Macro Influencer,91,10,0,0.005443960173407663
genbanteng,0.06705099897970528,96.72211350293543,2,Macro Influencer,54,10,0,0.005443960173407663
anaktambang,0.06705099897970528,96.72211350293543,2,Macro Influencer,95,10,0,0.005443960173407663
tuturmediadigital,0.0666789811184312,96.57534246575342,2,Macro Influencer,116,10,0,0.005443960173407663
infobanyuwangi,0.06667898111843118,96.4774951076321,2,Macro Influencer,115,10,0,0.005443960173407663
tumbuhkaya.id,0.06630696325715711,96.37964774951077,2,Macro Influencer,108,10,0,0.005443960173407662
banten.feeds,0.0663069632571571,96.28180039138942,2,Macro Influencer,73,10,0,0.005443960173407662
tommybr_jipro,0.06597290720080849,96.1839530332681,2,Macro Influencer,25,10,0,0.005386613089397493
infobandaacehs,0.06593494539588302,96.08610567514677,2,Macro Influencer,15,10,0,0.005443960173407663
katakitaig,0.0656637394465053,95.98825831702544,2,Macro Influencer,52,10,0,0.005394519186188404
genergibersih,0.060958398238580166,95.8904109589041,2,Macro Influencer,65,10,2,0.004861049800588153
rikasavvyy,0.06065178043433787,95.79256360078277,2,Macro Influencer,118,9,0,0.00495690786531289
caapciipcuupp,0.060594759635268294,95.69471624266144,2,Macro Influencer,22,0,2,0.0005734370924599407
theglobeconomy,0.060325074033789,95.59686888454011,2,Macro Influencer,46,9,0,0.00495690786531289
zonaebt,0.060219066575257475,95.49902152641879,2,Macro Influencer,59,8,0,0.00414515401848827
radiopatria,0.05999372879996662,95.40117416829746,2,Macro Influencer,109,9,0,0.00495690786531289
kapitalismarket,0.05986578749177258,95.30332681017613,2,Macro Influencer,19,7,0,0.0037392770950759597
raden_maszamroni,0.057405561759727865,95.15655577299414,2,Macro Influencer,39,0,2,0.0005734370924599407
lucky6276600,0.057405561759727865,95.15655577299414,2,Macro Influencer,56,0,2,0.0005734370924599407
wartaekonomi,0.04691317787719159,95.00978473581213,2,Macro Influencer,59,5,0,0.002257826324621028
jabarekspres,0.04661328380602283,94.9119373776908,3,Mid Influencer,16,7,0,0.003982803249123346
astakomunikasi,0.04651641807138659,94.81409001956948,3,Mid Influencer,7,5,0,0.002614461806652974
arkaproject.idn,0.045869248083474666,94.71624266144813,3,Mid Influencer,29,7,0,0.003982803249123346
350id,0.042451371503164526,94.6183953033268,3,Mid Influencer,1,0,3,0.0005734370924599407
plnip.ubpadipala,0.039719698171792446,94.52054794520548,3,Mid Influencer,75,6,0,0.003495750941028574
satukanjiwa2024,0.03909842585837548,94.42270058708415,3,Mid Influencer,63,6,0,0.003495750941028574
cryfex.id,0.03804100591136347,94.32485322896281,3,Mid Influencer,34,6,0,0.0033334001716636497
cerita.rame,0.03715208434233471,94.22700587084148,3,Mid Influencer,1,0,3,0.0005734370924599407
riyan.nurrahman,0.03658627171347779,94.12915851272015,3,Mid Influencer,65,6,0,0.0030730130940492257
ronnypunya,0.03652119985359346,94.03131115459882,3,Mid Influencer,11,0,1,0.0005734370924599407
bi_lang_,0.034065405584094516,93.9334637964775,3,Mid Influencer,11,0,1,0.0005734370924599407
solehchemist,0.03307213637367518,93.83561643835617,3,Mid Influencer,78,5,0,0.0030086986329338015
updatenusantaracom,0.03172478934706858,93.73776908023484,3,Mid Influencer,40,5,0,0.0028463478635688774
