post_id,post_owner_username,count_post,comment_count,unique_commenters,total_comment_like,post_like,post_interaction,comment_id_list,commenter_list
DWub4RBAX-U,agam.munawar,1,1,1,0,47,0,['18358255525224176'],['isyaknurhadi']
DXRYC7bCerP,agussupriyantobq7,1,1,1,0,1,0,['18119273524656312'],['mahardiansamarinda']
DXGBhi1gSTE,ahdahmaulana,1,3,2,0,17,0,"['17874237840590144', '18090198464236516', '18347858413243288']","['gendhoek_limboek', 'verd7007']"
DW0RSc7kaRM,akademi.antikorupsi,3,4,4,3,70,0,"['17901118548416082', '18069264401375968', '18081834446093216', '18343744066214980']","['bilic_indonesia', 'monsun_17', 'ratna_aden', 'yatty70']"
DXGKjxNEmGJ,anaktambang,1,10,10,16,1869,0,"['17875746360581424', '17931612375238612', '17945860281160056', '17954794545120800', '17960802039097478', '17977050347992072', '17985416378800392', '18089902255961972', '18094711025036048', '18175513492393936']","['adi.putra.75209', 'excelsobraziliansantos', 'gdl_fotografer', 'hairil_gaskin', 'khemkorner', 'rachmat.suhendro', 'sssaaaaaaalll', 'vrvalent46', 'wendah490', 'winman007008009']"
DW-MBaVCcBN,anggadrumaholic,1,2,2,0,10,0,"['17946705684138820', '17970202919881520']","['bababigonthebike', 'refliaisyah']"
DWx_lbfEZL2,apaajapku,1,3,3,1,38,0,"['18089249924191636', '18116667775711452', '18568136428000260']","['francesumayow', 'kaneta.sticker', 'rahmat_jeri1']"
DW2_7vNkRTn,aqielr15,1,3,3,0,7,0,"['17905514244226072', '18313382278259072', '18393666625153800']","['cintamelodyy_', 'ekonomienergi_up45', 'reynal_da']"
DWnk2IEE1uv,ariusama20,2,2,2,2,3,0,"['17875986612559964', '18149870482415224']","['alamsemesta189', 'arz_opini']"
DWqLwDBjtAz,arkaproject.idn,4,6,6,0,10,0,"['17861935527619398', '17916979956343040', '18004329680884212', '18093868721137776', '18095695085010932', '18388890343084048']","['aanurdin001', 'agustiawan_winardi', 'faisalladamm', 'fajarhitammm', 'masrahman008', 'pancasetyawn']"
DW54UU8jpvA,arkaproject.idn,4,1,1,0,5,0,['17914868121347336'],['hisyammtaufiiq']
DW8resNkbt0,astakomunikasi,2,5,5,1,30,0,"['17856508629633420', '17869673283604582', '18092240270149724', '18098257199093496', '18110413228799856']","['_warmindostory', 'aan101425', 'khayfazar74', 'nellysafitri14', 'rizkyjokeja']"
DW2wD6CmIsS,astrobike.katalog,6,4,4,4,15,0,"['18074447639208124', '18085646405523056', '18087417110205908', '18126530095589932']","['brianrahmadn', 'dadi_rahman_dr', 'panjimulki', 'rnaufallll']"
DXGuHnEklZi,astrobike.katalog,6,2,2,2,9,0,"['17965289817060668', '18099788641797648']","['endahnu', 'mhmmdadry5']"
DXLVzrIkkMv,astrobike.katalog,6,2,2,2,9,0,"['18353798377238256', '18360525229230728']","['elcoroch', 'febri14300']"
DXOC86OEvMh,astrobike.katalog,6,2,2,3,12,0,"['17884340157509300', '18096515300279148']","['nhs.post', 'ninoright']"
DW8QrfEmJZM,astrobike.katalog,6,1,1,1,11,0,['17895498948442092'],['zhyezhaa']
DW06GaYk4ny,autotivo,4,1,1,0,66,0,['18088064117591284'],['bydlombok_']
DWqzpO0iTMf,autotivo,4,1,1,1,38,0,['17902416441240544'],['rifqisyalim']
DW72W1JEYM1,banten.feeds,1,10,10,960,2216,0,"['17876735637563216', '17969232378044598', '17971400283043032', '18042213107550708', '18053872562709980', '18070091732659432', '18099697093802868', '18100372996957284', '18129793483494748', '18177959632391528']","['bangrikibatavia801', 'edyalnur', 'iyolah_72', 'kak_bho', 'keanuabhivandya', 'lis.dyah', 'ptpesonapariwisata', 'riniyulia790', 'riyani_twins', 'setiabuddi']"
DWyvRUcjWSF,beritasatu,1,1,1,0,222,0,['17920576788295962'],['bento1ko']
DV-MbYoERU5,bitorexpost,8,10,10,4191,23949,0,"['17866374420603020', '17878985490522444', '17943259524154808', '17955876129102156', '17963251245055932', '18076283990410672', '18125841166577312', '18163133638419948', '18194053312348648', '18570820852025672']","['aura_deluna_', 'bi_lang_', 'freedome4palestine', 'gahars_official', 'kata2_tak_tertulis', 'priambodopongky', 'robi_scorpion', 'ronnypunya', 'ujangaripp', 'uncle.dionsu']"
DWvST1kEZ15,bitorexpost,8,10,10,82,1770,0,"['17854509117638740', '17907535944385834', '17967798123045952', '18027843668805056', '18142707874494760', '18149520622461180', '18198906040353568', '18228832648312288', '18348836191213892', '18516708763075428']","['alamsah_48', 'arkho91', 'astor17027', 'dsfrozenfood', 'indra_aetiawan', 'ipenkun', 'namakuyuldi', 'starleo164', 'urs4major_', 'zinprimadew']"
