username,total_comments_received
sindonews,79
moltensalt.insight,42
otoproject,39
bitorexpost,38
metrotv,30
luarbioskop,29
koranbaliexpress,26
investordailyid,20
kompascom,20
sukabumiupdatecom,19
feedcollective.co,16
katadatacoid,16
bloombergtechnoz,15
timesindonesia,14
cerah_indonesiaku,11
astrobike.katalog,11
trendjktcom,10
officialinewstv,10
tommybr_jipro,10
katakitaig,10
genergibersih,10
infobandaacehs,10
infobanyuwangi,10
genbanteng,10
anaktambang,10
banten.feeds,10
daripresiden,10
manofourtimeid,10
laporan8.id,10
theglobeconomy,10
rikasavvyy,10
webekspor,10
warta.dotcom,10
tumbuhkaya.id,10
suaradotcom,10
tuturmediadigital,10
radiopatria,9
zonaebt,8
plnip.ubpadipala,8
arkaproject.idn,7
kapitalismarket,7
jabarekspres,7
indovibing.id,7
greenpowergrouptbk,6
cryfex.id,6
satukanjiwa2024,6
astakomunikasi,5
updatenusantaracom,5
solehchemist,5
enternusantara,5
policy.pop,4
heraldsulselbar,4
djebtke,4
madiuntoday.id,4
murianewscom,4
depokhariini,4
cekberitanya,4
indo.flashid,4
akademi.antikorupsi,4
wartaekonomi,4
tantriianita,4
vibesnewssociety,4
lifeatgenb,4
komnas.ham,4
simakpolitik,3
sorot_tanah_air,3
satupersenofficial,3
aqielr15,3
jabodetabek24info,3
apaajapku,3
ahdahmaulana,3
pln.epi,3
otospector,2
sawanganupdate,2
rimbasatwa.id,2
vivacoid,2
tribunnews,2
porosrakjat,2
harian.disway,2
kabartanpadelay,2
autotivo,2
ariusama20,2
anggadrumaholic,2
jakarta_headlines,2
kabarciledug,2
pln_enjiniring,2
mkiofficial_,2
naturevolution.id,2
puspenpol,2
syamsiro,2
beritasatu,1
katadatagreen,1
jakbarviral,1
joeliardisunendar,1
indomine_id,1
funderstand.id,1
giz_idasean,1
growminingcorpindonesia,1
ikiloguntor,1
distanparikpml,1
dewanenergi,1
energianusantara,1
borobudur_news,1
cakinvestmentclub,1
cravinginformation,1
danurenjaya,1
depokseru,1
agam.munawar,1
agussupriyantobq7,1
republikbekasiofficial,1
pestamedia,1
official_nasdem,1
komparasinews.id,1
mhdcclinic,1
mr.opini,1
lbsurundana,1
nkri24jam,1
officialnusantaratv,1
sagoetv,1
strum_id,1
rujakpolitik,1
ruteberkeadilan.jabar,1
warga.jakbar,1
